epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,374.178,0.96928,0.69038,2.20033,0.52812,0.5,0.46251,0.30374,1.66368,1.96403,1.96463,0.0011882,0.0011882,0.0011882
43,382.818,0.98376,0.78891,2.44088,0.5197,0.46341,0.47028,0.31259,1.59009,2.16084,1.98393,0.0011684,0.0011684,0.0011684
44,391.261,0.93369,0.67117,2.34062,0.53347,0.57317,0.5329,0.36677,1.37407,1.73057,1.89062,0.0011486,0.0011486,0.0011486
45,399.697,0.9233,0.66548,2.25347,0.57397,0.54224,0.51923,0.37237,1.41518,1.58621,1.90004,0.0011288,0.0011288,0.0011288
46,408.3,0.95693,0.67617,2.28114,0.64535,0.46341,0.51186,0.34663,1.38048,1.7938,1.85873,0.001109,0.001109,0.001109
47,416.961,0.9208,0.63158,2.28322,0.50089,0.41613,0.44602,0.29405,1.38547,2.16846,1.93266,0.0010892,0.0010892,0.0010892
48,425.458,0.9379,0.65935,2.3081,0.58153,0.45761,0.50072,0.34141,1.30105,2.10094,2.01467,0.0010694,0.0010694,0.0010694
49,433.98,0.8942,0.62257,2.27053,0.60586,0.52439,0.57733,0.39109,1.29938,2.01634,2.07642,0.0010496,0.0010496,0.0010496
50,442.532,0.92448,0.66621,2.19789,0.59023,0.50944,0.55439,0.36799,1.29924,1.89703,1.98768,0.0010298,0.0010298,0.0010298
51,451.127,0.8555,0.60378,2.0655,0.65708,0.46739,0.55096,0.39125,1.27259,1.93778,2.06086,0.00101,0.00101,0.00101
52,459.481,0.92108,0.65798,2.31945,0.54523,0.57317,0.56267,0.37739,1.35468,1.90261,2.12543,0.0009902,0.0009902,0.0009902
53,468.087,0.92509,0.634,2.20015,0.70909,0.62427,0.70159,0.45779,1.34407,1.29484,1.99535,0.0009704,0.0009704,0.0009704
54,477.095,0.91302,0.6315,2.2376,0.81543,0.54878,0.66577,0.43844,1.38066,1.5335,2.01448,0.0009506,0.0009506,0.0009506
55,485.417,0.89198,0.6296,2.2841,0.74072,0.55747,0.61156,0.40142,1.48262,1.64833,1.94218,0.0009308,0.0009308,0.0009308
56,493.936,0.858,0.61106,2.19763,0.70233,0.54878,0.57772,0.37544,1.46108,1.65052,1.99938,0.000911,0.000911,0.000911
57,502.632,0.85221,0.58633,2.12251,0.58963,0.46341,0.48309,0.3058,1.50377,2.02753,2.00168,0.0008912,0.0008912,0.0008912
58,511.242,0.85253,0.62113,2.10541,0.44763,0.43902,0.41561,0.27538,1.4528,2.31385,2.02509,0.0008714,0.0008714,0.0008714
59,520.018,0.87826,0.59427,2.11743,0.66101,0.26167,0.37016,0.25032,1.36307,2.70476,2.04953,0.0008516,0.0008516,0.0008516
60,528.936,0.83119,0.54987,2.1126,0.50603,0.5247,0.46225,0.3077,1.42239,2.16214,1.9948,0.0008318,0.0008318,0.0008318
61,538.19,0.84522,0.56754,2.10141,0.62093,0.52439,0.52362,0.35744,1.37709,1.93908,1.96331,0.000812,0.000812,0.000812
62,546.982,0.91714,0.64411,2.23155,0.57177,0.53735,0.52814,0.34919,1.39288,2.15,2.03601,0.0007922,0.0007922,0.0007922
63,555.942,0.82158,0.54923,2.11949,0.61855,0.46341,0.50975,0.35127,1.45161,2.35791,1.99664,0.0007724,0.0007724,0.0007724
64,564.572,0.8091,0.56526,2.07638,0.52736,0.43902,0.45,0.30853,1.45543,2.44477,1.83697,0.0007526,0.0007526,0.0007526
65,573.053,0.82279,0.58859,2.11781,0.67194,0.56098,0.61404,0.4195,1.34946,1.63497,1.82391,0.0007328,0.0007328,0.0007328
66,581.563,0.85365,0.58372,2.11764,0.57984,0.63957,0.6448,0.44871,1.28683,1.5482,1.86491,0.000713,0.000713,0.000713
67,590.152,0.8296,0.57404,2.07061,0.70566,0.53659,0.63058,0.40997,1.3528,1.64342,1.91469,0.0006932,0.0006932,0.0006932
68,598.902,0.79187,0.55105,1.98613,0.57581,0.57944,0.55979,0.36577,1.417,1.87325,1.94775,0.0006734,0.0006734,0.0006734
69,607.309,0.79694,0.54173,2.08246,0.60294,0.62195,0.5889,0.39471,1.33008,1.84364,1.88366,0.0006536,0.0006536,0.0006536
70,616.142,0.76165,0.5528,2.03921,0.65219,0.62195,0.60696,0.40679,1.27439,1.76086,1.81272,0.0006338,0.0006338,0.0006338
71,625.046,0.78942,0.57815,1.93546,0.64129,0.6541,0.60344,0.40843,1.22265,1.73532,1.81293,0.000614,0.000614,0.000614
72,633.899,0.79193,0.54757,1.98798,0.68826,0.60976,0.61786,0.41669,1.28415,1.73435,1.79046,0.0005942,0.0005942,0.0005942
73,643.109,0.76375,0.544,2.03918,0.71333,0.59756,0.6587,0.47418,1.25137,1.60949,1.81556,0.0005744,0.0005744,0.0005744
74,652.197,0.76906,0.53532,2.03568,0.74706,0.63415,0.73985,0.52448,1.25564,1.51806,1.95479,0.0005546,0.0005546,0.0005546
75,660.832,0.79221,0.55646,2.04763,0.76758,0.64441,0.73269,0.53932,1.19031,1.39142,1.93305,0.0005348,0.0005348,0.0005348
76,669.626,0.80197,0.61136,2.13106,0.6854,0.53659,0.63063,0.44161,1.31052,1.87874,1.97682,0.000515,0.000515,0.000515
77,678.271,0.75108,0.54047,2.0656,0.77778,0.5122,0.64028,0.442,1.33546,2.18618,1.98034,0.0004952,0.0004952,0.0004952
78,686.95,0.77456,0.56299,2.01027,0.65272,0.5043,0.61239,0.43546,1.30556,2.10424,1.9301,0.0004754,0.0004754,0.0004754
79,695.683,0.74675,0.54325,1.99293,0.68654,0.5,0.60922,0.43488,1.30519,1.95106,1.83522,0.0004556,0.0004556,0.0004556
80,704.512,0.73081,0.51891,2.00682,0.64776,0.60555,0.65389,0.46868,1.22565,1.74212,1.77302,0.0004358,0.0004358,0.0004358
81,713.453,0.73135,0.51369,1.95218,0.70807,0.60976,0.69209,0.47693,1.25733,1.67468,1.74349,0.000416,0.000416,0.000416
82,722.524,0.73892,0.51401,1.92717,0.75637,0.60976,0.69395,0.48498,1.26567,1.54381,1.78656,0.0003962,0.0003962,0.0003962
83,731.638,0.73496,0.50982,1.84842,0.78591,0.62195,0.72385,0.5164,1.1429,1.30797,1.85803,0.0003764,0.0003764,0.0003764
84,740.479,0.71536,0.50344,1.95709,0.68996,0.70732,0.69795,0.50359,1.14164,1.30676,1.88292,0.0003566,0.0003566,0.0003566
85,749.587,0.71555,0.51099,1.94801,0.70017,0.63415,0.6691,0.48171,1.19752,1.4629,1.90726,0.0003368,0.0003368,0.0003368
86,758.293,0.74634,0.56736,1.87252,0.70965,0.62195,0.6665,0.47896,1.20683,1.58434,1.92213,0.000317,0.000317,0.000317
87,766.978,0.68893,0.49373,1.92169,0.72503,0.64316,0.6582,0.46507,1.20812,1.61681,1.89141,0.0002972,0.0002972,0.0002972
88,775.711,0.68633,0.52116,1.88837,0.67746,0.60976,0.64307,0.45874,1.23998,1.75202,1.85129,0.0002774,0.0002774,0.0002774
89,784.695,0.67195,0.47817,1.90307,0.68086,0.63415,0.64627,0.46142,1.26314,1.67736,1.86691,0.0002576,0.0002576,0.0002576
90,793.191,0.68171,0.47686,1.89089,0.66255,0.62255,0.63777,0.4594,1.26169,1.6959,1.87291,0.0002378,0.0002378,0.0002378
91,802.039,0.68882,0.47001,1.78025,0.63505,0.62195,0.61099,0.44008,1.25837,1.57849,1.91522,0.000218,0.000218,0.000218
92,811.1,0.59772,0.40387,1.63235,0.62845,0.60976,0.59377,0.42608,1.3002,1.60903,1.91267,0.0001982,0.0001982,0.0001982
93,819.797,0.64184,0.41321,1.59692,0.59443,0.63415,0.62,0.44197,1.3109,1.66637,1.91901,0.0001784,0.0001784,0.0001784
94,828.519,0.66917,0.40607,1.73762,0.59941,0.63415,0.61207,0.43989,1.29934,1.69326,1.91714,0.0001586,0.0001586,0.0001586
95,841.33,0.63131,0.42543,1.75888,0.59488,0.60976,0.61258,0.43059,1.2935,1.80914,1.90906,0.0001388,0.0001388,0.0001388
96,849.893,0.59733,0.42111,1.75846,0.61241,0.58537,0.6073,0.42758,1.29359,1.88383,1.91355,0.000119,0.000119,0.000119
97,858.529,0.58934,0.3789,1.6047,0.62948,0.62157,0.62247,0.43968,1.28514,1.86611,1.91085,9.92e-05,9.92e-05,9.92e-05
98,867.12,0.56839,0.36853,1.59443,0.62905,0.62195,0.62467,0.4462,1.28246,1.82169,1.89687,7.94e-05,7.94e-05,7.94e-05
99,875.635,0.59367,0.38391,1.65595,0.65679,0.63015,0.64186,0.45856,1.26619,1.74868,1.87246,5.96e-05,5.96e-05,5.96e-05
100,884.177,0.57655,0.37722,1.69851,0.65227,0.62195,0.6459,0.46129,1.26384,1.77066,1.87195,3.98e-05,3.98e-05,3.98e-05
